problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,0/3/0,4.9,13.0,282.1,31.1
30n20b8,3,0/0/3,560.7,22.7,819.5,316.1
50v-10,3,0/3/0,156.3,0.3,23.3,0.6
CMS750_4,3,3/0/0,48.0,13.4,228.4,31.2
a1c1s1,3,3/0/0,26.2,0.7,34.6,2.9
academictimetablesmall,3,0/0/3,inf,552.1,1331.5,5.5
aflow30a,3,3/0/0,191.4,0.3,60.8,12.7
aflow40b,3,3/0/0,223.3,0.3,35.6,3.5
air04,3,3/0/0,0.4,3.6,15.4,0.3
air05,3,3/0/0,3.1,1.6,16.7,0.0
app1-1,3,3/0/0,15.6,1.0,63.4,15.7
app1-2,3,1/2/0,43.9,24.8,144.5,56.4
arki001,3,0/0/3,2.0,24.9,1081.3,355.9
assign1-5-8,3,3/0/0,3.0,0.1,25.9,0.0
atlanta-ip,3,3/0/0,10.7,17.2,25.8,0.3
b1c1s1,3,3/0/0,170.1,1.0,43.3,7.3
bab2,3,0/1/2,8.9,693.9,610.1,103.0
bab6,3,0/0/3,11.9,588.8,872.2,217.8
beasleyC3,3,3/0/0,13.1,0.3,56.8,13.5
binkar10_1,3,3/0/0,3.9,0.1,11.4,0.4
blp-ar98,3,3/0/0,68.5,2.2,18.3,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,26.0,1.0,62.3,8.9
brazil3,3,0/3/0,268.7,20.2,28.8,0.0
buildingenergy,3,0/3/0,1.1,635.5,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,7.2,80.7,25.9
chromaticindex1024-7,3,3/0/0,0.0,54.8,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,44.9,2.0,0.0
cmflsp50-24-8-8,3,1/2/0,14.7,56.2,439.1,157.3
co-100,3,3/0/0,302.1,6.3,15.7,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3731.7,6.8,28.6,0.0
comp21-2idx,3,0/3/0,409.1,5.1,30.3,0.4
cost266-UUE,3,3/0/0,31.2,0.5,32.6,1.6
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/1/2,33.1,6.3,656.8,180.8
csched008,3,1/1/1,9.4,2.9,311.7,82.0
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,19.1,18.0,0.0
dano3_5,3,3/0/0,0.1,36.6,34.6,2.2
dano3mip,3,3/0/0,12.3,123.8,72.3,16.3
danoint,3,1/2/0,209.8,3.8,177.1,63.3
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,7.5,0.4,15.2,0.0
drayage-25-23,3,3/0/0,10.9,0.6,21.1,0.0
